query_1_time.out,query_3_time.out,query_4_time.out,query_8_time.out,query_10_time.out,query_11_time.out,query_12_time.out,query_13_time.out,query_14_time.out,query_15_time.out,query_17_time.out,query_19_time.out,query_23_time.out,query_25_time.out,query_26_time.out,query_27_time.out,query_29_time.out,query_30_time.out,query_33_time.out,query_34_time.out,query_35_time.out,query_37_time.out,query_39_time.out,query_41_time.out,query_42_time.out,query_43_time.out
1579,1678,2681,1284283,3224,4828,125,278,269,332,5138,51,1212,645,269,2275,48,2200,37,385,305,13566,124,871,2203,43
228,1755,3529,1379426,551,2935,649,1281,1403,552,5838,185,3176,3383,1447,3180,257,3567,204,1317,513,75733,451,5833,3150,182
242,1806,3567,1201838,594,2920,633,1462,1450,569,5882,193,3616,3915,1243,3331,269,3765,209,781,504,77123,573,6019,3076,186
39,1619,2658,1043196,112,2058,109,248,244,302,4851,59,675,636,246,2249,52,2227,49,327,189,13370,95,895,2164,27
50,1616,2668,1040089,114,2053,109,247,230,298,4807,49,640,677,245,2314,71,2268,37,348,186,13400,94,847,2167,27
41,1617,2670,1043228,101,2050,120,246,246,311,4788,37,642,647,238,2317,51,2211,48,339,210,13406,105,896,2215,30
50,1595,2637,1037299,101,1976,118,256,243,300,4810,37,630,634,236,2263,51,2235,38,321,186,13359,104,912,2185,37
37,1600,2640,1040403,101,1922,129,249,232,329,4789,37,626,632,234,2243,51,2226,36,331,185,13375,104,844,2167,29
50,1602,2631,1032224,102,1937,121,276,236,302,4778,38,628,655,237,2255,48,2236,38,325,203,13323,105,790,2176,25
50,1623,2595,1021686,136,1833,112,248,230,298,4675,51,633,634,236,2189,54,2193,50,357,186,13052,107,842,2112,37



SQ - 1,3,10,12,30,33,41
IQ - 4,8,11,13,14,15,17,19,23,25,26,27,29,35,37,39,42,43
CQ - 34


query_ID  average_time (ms)
 query_1              236.6
 query_3            1651.1
 query_4             2827.6
 query_8          1112367.2
 query_10              513.6
 query_11            2451.2
 query_12             222.5
 query_13              479.1
 query_14              478.3
query_15              359.3
query_17             5035.6
query_19               73.7
query_23             1247.8
query_25             1245.8
query_26              463.1
query_27             2461.6
query_29               95.2
query_30             2512.8
query_33               74.6
query_34              483.1
query_35              266.7
query_37            25970.7
query_39              186.2
query_41             1874.9
query_42             2361.5
query_43               62.3



category  average_time       std_dev
SSP  44846.234615           213560.715301

#For SQ and IQ values I combined it with pwc


SQ           995.575      849.469437
IQ        58050.86 241939.640606
CQ        483.1         0.0